Short Title,Title,issn,eISSN,Funding (TL),Year,Impact Factor,SCI,SSCI,AHCI,Source
PHYSIOL REV,Physiological Reviews,0031-9333,1522-1210,50000,2025,14.052,TRUE,FALSE,FALSE,
NAT NEUROSCI,NATURE NEUROSCIENCE,1097-6256,1546-1726,50000,2025,13.958,TRUE,FALSE,FALSE,
ANNU REV IMMUNOL,Annual Review of Immunology,0732-0582,1545-3278,50000,2025,13.921,TRUE,FALSE,FALSE,
CIRCULATION,CIRCULATION,0009-7322,1524-4539,50000,2025,13.882,TRUE,FALSE,FALSE,
ACAD MANAG ANN,Academy of Management Annals,1941-6520,1941-6067,50000,2025,13.732,FALSE,TRUE,FALSE,
J ECON LIT,JOURNAL OF ECONOMIC LITERATURE,0022-0515,2328-8175,50000,2025,13.596,FALSE,TRUE,FALSE,
NBER MACROECON ANNU,NBER Macroeconomics Annual,0889-3365,1537-2642,50000,2025,13.595,FALSE,TRUE,FALSE,
ASTRON ASTROPHYS REV,ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,1432-0754,50000,2025,13.247,TRUE,FALSE,FALSE,
NAT NANOTECHNOL,Nature Nanotechnology,1748-3387,1748-3395,50000,2025,13.244,TRUE,FALSE,FALSE,
NAT ELECTRON,Nature Electronics,2520-1131,2520-1131,50000,2025,13.124,TRUE,FALSE,FALSE,
NAT IMMUNOL,NATURE IMMUNOLOGY,1529-2908,1529-2916,50000,2025,12.968,TRUE,FALSE,FALSE,
CELL RES,CELL RESEARCH,1001-0602,1748-7838,50000,2025,12.959,TRUE,FALSE,FALSE,
LANCET PSYCHIAT,Lancet Psychiatry,2215-0374,N/A,50000,2025,12.956,TRUE,TRUE,FALSE,
JOULE,Joule,2542-4351,2542-4351,50000,2025,12.732,TRUE,FALSE,FALSE,
J FINANC,JOURNAL OF FINANCE,0022-1082,1540-6261,50000,2025,12.57,FALSE,TRUE,FALSE,
NAT PHOTONICS,Nature Photonics,1749-4885,1749-4893,50000,2025,12.495,TRUE,FALSE,FALSE,
NAT REV CHEM,Nature Reviews Chemistry,,2397-3358,50000,2025,12.433,TRUE,FALSE,FALSE,
NAT CANCER,Nature Cancer,,2662-1347,50000,2025,12.397,TRUE,FALSE,FALSE,
EUR HEART J,EUROPEAN HEART JOURNAL,0195-668X,1522-9645,50000,2025,12.31,TRUE,FALSE,FALSE,
ANN INTERN MED,ANNALS OF INTERNAL MEDICINE,0003-4819,1539-3704,50000,2025,12.293,TRUE,FALSE,FALSE,
REV GEOPHYS,REVIEWS OF GEOPHYSICS,8755-1209,1944-9208,50000,2025,12.272,TRUE,FALSE,FALSE,
LANCET INFECT DIS,LANCET INFECTIOUS DISEASES,1473-3099,1474-4457,50000,2025,12.221,TRUE,FALSE,FALSE,
REV ECON STUD,REVIEW OF ECONOMIC STUDIES,0034-6527,1467-937X,50000,2025,12.088,FALSE,TRUE,FALSE,
ANNU REV PSYCHOL,Annual Review of Psychology,0066-4308,1545-2085,50000,2025,11.855,TRUE,TRUE,FALSE,
NAT REV NEPHROL,Nature Reviews Nephrology,1759-5061,1759-507X,50000,2025,11.825,TRUE,FALSE,FALSE,
NAT CLIM CHANGE,Nature Climate Change,1758-678X,1758-6798,50000,2025,11.65,TRUE,TRUE,FALSE,
CELL METAB,Cell Metabolism,1550-4131,1932-7420,50000,2025,11.622,TRUE,FALSE,FALSE,
LANCET GASTROENTEROL,Lancet Gastroenterology & Hepatology,,2468-1253,50000,2025,11.226,TRUE,FALSE,FALSE,
CHEM SOC REV,CHEMICAL SOCIETY REVIEWS,0306-0012,1460-4744,50000,2025,11.209,TRUE,FALSE,FALSE,
LIVING REV SOL PHYS,Living Reviews in Solar Physics,2367-3648,1614-4961,50000,2025,11.141,TRUE,FALSE,FALSE,
J ECON PERSPECT,JOURNAL OF ECONOMIC PERSPECTIVES,0895-3309,1944-7965,50000,2025,11.137,FALSE,TRUE,FALSE,
LANCET PUBLIC HEALTH,Lancet Public Health,2468-2667,2468-2667,50000,2025,11.122,TRUE,TRUE,FALSE,
JAMA ONCOL,JAMA Oncology,2374-2437,2374-2445,50000,2025,11.092,TRUE,FALSE,FALSE,
LANCET DIGIT HEALTH,Lancet Digital Health,,2589-7500,50000,2025,11.081,TRUE,FALSE,FALSE,
ACTA NUMER,ACTA NUMERICA,0962-4929,1474-0508,50000,2025,11.075,TRUE,FALSE,FALSE,
LANCET GLOB HEALTH,Lancet Global Health,2214-109X,2214-109X,50000,2025,11.02,TRUE,TRUE,FALSE,
NAT CELL BIOL,NATURE CELL BIOLOGY,1465-7392,1476-4679,50000,2025,10.915,TRUE,FALSE,FALSE,
JAMA INTERN MED,JAMA Internal Medicine,2168-6106,2168-6114,50000,2025,10.813,TRUE,FALSE,FALSE,
CELL STEM CELL,Cell Stem Cell,1934-5909,1875-9777,50000,2025,10.431,TRUE,FALSE,FALSE,
ANNU REV PATHOL-MECH,Annual Review of Pathology-Mechanisms of Disease,1553-4006,1553-4014,50000,2025,10.337,TRUE,FALSE,FALSE,
CELL DISCOV,Cell Discovery,,2056-5968,50000,2025,10.336,TRUE,FALSE,FALSE,
SCI ROBOT,Science Robotics,2470-9476,2470-9476,50000,2025,10.288,TRUE,FALSE,FALSE,
ANNU REV PUBL HEALTH,Annual Review of Public Health,0163-7525,1545-2093,50000,2025,10.271,TRUE,TRUE,FALSE,
TRENDS COGN SCI,TRENDS IN COGNITIVE SCIENCES,1364-6613,1879-307X,50000,2025,10.247,TRUE,TRUE,FALSE,
J AM COLL CARDIOL,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,1558-3597,50000,2025,10.24,TRUE,FALSE,FALSE,
ANNU REV ORGAN PSYCH,Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,2327-0616,50000,2025,10.085,FALSE,TRUE,FALSE,
ANNU REV POLIT SCI,Annual Review of Political Science,1094-2939,1545-1577,50000,2025,9.991,FALSE,TRUE,FALSE,
ANNU REV BIOCHEM,Annual Review of Biochemistry,0066-4154,1545-4509,50000,2025,9.943,TRUE,FALSE,FALSE,
NAT MACH INTELL,Nature Machine Intelligence,,2522-5839,50000,2025,9.872,TRUE,FALSE,FALSE,
NAT BIOMED ENG,Nature Biomedical Engineering,2157-846X,2157-846X,50000,2025,9.837,TRUE,FALSE,FALSE,
PSYCHOL BULL,PSYCHOLOGICAL BULLETIN,0033-2909,1939-1455,50000,2025,9.7,TRUE,TRUE,FALSE,
SIGNAL TRANSDUCT TAR,Signal Transduction and Targeted Therapy,2095-9907,2059-3635,50000,2025,9.679,TRUE,FALSE,FALSE,
ANNU REV ECON,Annual Review of Economics,1941-1383,1941-1391,50000,2025,9.64,FALSE,TRUE,FALSE,
JAMA PSYCHIAT,JAMA Psychiatry,2168-622X,2168-6238,50000,2025,9.627,TRUE,TRUE,FALSE,
LANCET PLANET HEALTH,Lancet Planetary Health,,2542-5196,50000,2025,9.568,TRUE,TRUE,FALSE,
J HEPATOL,JOURNAL OF HEPATOLOGY,0168-8278,1600-0641,50000,2025,9.542,TRUE,FALSE,FALSE,
ADMIN SCI QUART,ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,1930-3815,50000,2025,9.529,FALSE,TRUE,FALSE,
AM ECON J-APPL ECON,American Economic Journal-Applied Economics,1945-7782,1945-7790,50000,2025,9.525,FALSE,TRUE,FALSE,
NAT HUM BEHAV,Nature Human Behaviour,2397-3374,2397-3374,50000,2025,9.515,TRUE,TRUE,FALSE,
NAT PHYS,Nature Physics,1745-2473,1745-2481,50000,2025,9.477,TRUE,FALSE,FALSE,
NAT REV RHEUMATOL,Nature Reviews Rheumatology,1759-4790,1759-4804,50000,2025,9.458,TRUE,FALSE,FALSE,
ANNU REV FLUID MECH,Annual Review of Fluid Mechanics,0066-4189,1545-4479,50000,2025,9.438,TRUE,FALSE,FALSE,
SCI IMMUNOL,Science Immunology,2470-9468,2470-9468,50000,2025,9.304,TRUE,FALSE,FALSE,
NAT SUSTAIN,Nature Sustainability,2398-9629,2398-9629,50000,2025,9.297,TRUE,TRUE,FALSE,
CLIN MICROBIOL REV,CLINICAL MICROBIOLOGY REVIEWS,0893-8512,1098-6618,50000,2025,9.263,TRUE,FALSE,FALSE,
ACAD MANAGE REV,ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,50000,2025,9.144,FALSE,TRUE,FALSE,
GASTROENTEROLOGY,Gastroenterology,0016-5085,1528-0012,50000,2025,9.124,TRUE,FALSE,FALSE,
IEEE COMMUN SURV TUT,IEEE Communications Surveys and Tutorials,,1553-877X,50000,2025,9.109,TRUE,FALSE,FALSE,
AM ECON REV INSIGHTS,American Economic Review-Insights,2640-205X,2640-2068,50000,2025,9.108,FALSE,TRUE,FALSE,
AM ECON J-MACROECON,American Economic Journal-Macroeconomics,1945-7707,1945-7715,50000,2025,9.004,FALSE,TRUE,FALSE,
INTENS CARE MED,INTENSIVE CARE MEDICINE,0342-4642,1432-1238,50000,2025,8.973,TRUE,FALSE,FALSE,
ADV METH PRACT PSYCH,Advances in Methods and Practices in Psychological Science,2515-2459,2515-2467,50000,2025,8.898,TRUE,TRUE,FALSE,
NEURON,Neuron,0896-6273,1097-4199,50000,2025,8.861,TRUE,FALSE,FALSE,
REV FINANC STUD,REVIEW OF FINANCIAL STUDIES,0893-9454,1465-7368,50000,2025,8.837,FALSE,TRUE,FALSE,
ENDOCR REV,ENDOCRINE REVIEWS,0163-769X,1945-7189,50000,2025,8.803,TRUE,FALSE,FALSE,
REV ECON STAT,REVIEW OF ECONOMICS AND STATISTICS,0034-6535,1530-9142,50000,2025,8.775,FALSE,TRUE,FALSE,
ANNU REV CONDEN MA P,Annual Review of Condensed Matter Physics,1947-5454,1947-5462,50000,2025,8.73,TRUE,FALSE,FALSE,
GENOME BIOL,GENOME BIOLOGY,1474-760X,1474-760X,50000,2025,8.713,TRUE,FALSE,FALSE,
NAT METAB,Nature Metabolism,,2522-5812,50000,2025,8.683,TRUE,FALSE,FALSE,
ENERG ENVIRON SCI,Energy & Environmental Science,1754-5692,1754-5706,50000,2025,8.672,TRUE,FALSE,FALSE,
JAMA PEDIATR,JAMA Pediatrics,2168-6203,2168-6211,50000,2025,8.653,TRUE,FALSE,FALSE,
PUBL MATH-PARIS,Publications Mathematiques de l IHES,0073-8301,1618-1913,50000,2025,8.615,TRUE,FALSE,FALSE,
PHYS REP,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,1873-6270,50000,2025,8.614,TRUE,FALSE,FALSE,
ANNU REV PLANT BIOL,Annual Review of Plant Biology,1543-5008,1545-2123,50000,2025,8.612,TRUE,FALSE,FALSE,
MOL CELL,Molecular Cell,1097-2765,1097-4164,50000,2025,8.607,TRUE,FALSE,FALSE,
AM SOCIOL REV,AMERICAN SOCIOLOGICAL REVIEW,0003-1224,1939-8271,50000,2025,8.587,FALSE,TRUE,FALSE,
LANCET MICROBE,Lancet Microbe,,2666-5247,50000,2025,8.513,TRUE,FALSE,FALSE,
CELL HOST MICROBE,Cell Host & Microbe,1931-3128,1934-6069,50000,2025,8.467,TRUE,FALSE,FALSE,
NAT MICROBIOL,Nature Microbiology,2058-5276,2058-5276,50000,2025,8.454,TRUE,FALSE,FALSE,
J FINANC ECON,JOURNAL OF FINANCIAL ECONOMICS,0304-405X,N/A,50000,2025,8.406,FALSE,TRUE,FALSE,
JAMA NEUROL,JAMA Neurology,2168-6149,2168-6157,50000,2025,8.375,TRUE,FALSE,FALSE,
ANNU REV NEUROSCI,Annual Review of Neuroscience,0147-006X,1545-4126,50000,2025,8.266,TRUE,FALSE,FALSE,
GUT,GUT,0017-5749,1468-3288,50000,2025,8.169,TRUE,FALSE,FALSE,
PROG MATER SCI,PROGRESS IN MATERIALS SCIENCE,0079-6425,1873-2208,50000,2025,8.167,TRUE,FALSE,FALSE,
NAT GEOSCI,Nature Geoscience,1752-0894,1752-0908,50000,2025,8.151,TRUE,FALSE,FALSE,
ANNU REV CLIN PSYCHO,Annual Review of Clinical Psychology,1548-5943,1548-5951,50000,2025,8.099,TRUE,TRUE,FALSE,
ANN MATH,ANNALS OF MATHEMATICS,0003-486X,1939-8980,50000,2025,8.081,TRUE,FALSE,FALSE,
BEHAV BRAIN SCI,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,1469-1825,50000,2025,8.069,TRUE,TRUE,FALSE,
ANNU REV GENET,Annual Review of Genetics,0066-4197,1545-2948,50000,2025,7.991,TRUE,FALSE,FALSE,
ADV OPT PHOTONICS,Advances in Optics and Photonics,1943-8206,N/A,50000,2025,7.984,TRUE,FALSE,FALSE,
NAT CHEM,Nature Chemistry,1755-4330,1755-4349,50000,2025,7.889,TRUE,FALSE,FALSE,
JAMA CARDIOL,JAMA Cardiology,2380-6583,2380-6591,50000,2025,7.754,TRUE,FALSE,FALSE,
ACAD MANAGE J,ACADEMY OF MANAGEMENT JOURNAL,0001-4273,1948-0989,50000,2025,7.656,FALSE,TRUE,FALSE,
AM J RESP CRIT CARE,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970,50000,2025,7.598,TRUE,FALSE,FALSE,
MMWR-MORBID MORTAL W,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,1545-861X,50000,2025,7.515,TRUE,FALSE,FALSE,
BROOKINGS PAP ECO AC,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,0007-2303,1533-4465,50000,2025,7.498,FALSE,TRUE,FALSE,
NAT STRUCT MOL BIOL,NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9993,1545-9985,50000,2025,7.488,TRUE,FALSE,FALSE,
ANNU REV PHYSIOL,Annual Review of Physiology,0066-4278,1545-1585,50000,2025,7.477,TRUE,FALSE,FALSE,
BLOOD,BLOOD,0006-4971,1528-0020,50000,2025,7.394,TRUE,FALSE,FALSE,
LANCET CHILD ADOLESC,Lancet Child & Adolescent Health,2352-4642,2352-4642,50000,2025,7.387,TRUE,FALSE,FALSE,
AM J PSYCHIAT,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,1535-7228,50000,2025,7.37,TRUE,TRUE,FALSE,
LANCET HAEMATOL,Lancet Haematology,2352-3026,N/A,50000,2025,7.317,TRUE,FALSE,FALSE,
AM ECON J-ECON POLIC,American Economic Journal-Economic Policy,1945-7731,1945-774X,50000,2025,7.31,FALSE,TRUE,FALSE,
NAT PROTOC,Nature Protocols,1754-2189,1750-2799,50000,2025,7.3,TRUE,FALSE,FALSE,
PROG ENERG COMBUST,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,1873-216X,50000,2025,7.296,TRUE,FALSE,FALSE,
NATURE AGING,Nature Aging,,2662-8465,50000,2025,7.255,TRUE,FALSE,FALSE,
NAT FOOD,Nature Food,,2662-1355,50000,2025,7.156,TRUE,FALSE,FALSE,
TRENDS CELL BIOL,TRENDS IN CELL BIOLOGY,0962-8924,1879-3088,50000,2025,7.115,TRUE,FALSE,FALSE,
NAT ECOL EVOL,Nature Ecology & Evolution,2397-334X,2397-334X,50000,2025,7.062,TRUE,FALSE,FALSE,
TRENDS ECOL EVOL,TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,50000,2025,7.015,TRUE,FALSE,FALSE,
SCI TRANSL MED,Science Translational Medicine,1946-6234,1946-6242,50000,2025,6.967,TRUE,FALSE,FALSE,
MOL CANCER,Molecular Cancer,,1476-4598,50000,2025,6.963,TRUE,FALSE,FALSE,
IEEE T PATTERN ANAL,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539,50000,2025,6.863,TRUE,FALSE,FALSE,
ACTA MATH-DJURSHOLM,ACTA MATHEMATICA,0001-5962,1871-2509,50000,2025,6.859,TRUE,FALSE,FALSE,
REP PROG PHYS,REPORTS ON PROGRESS IN PHYSICS,0034-4885,1361-6633,50000,2025,6.853,TRUE,FALSE,FALSE,
MAT SCI ENG R,MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,1879-212X,50000,2025,6.797,TRUE,FALSE,FALSE,
ADV MATER,ADVANCED MATERIALS,0935-9648,1521-4095,50000,2025,6.787,TRUE,FALSE,FALSE,
J HEMATOL ONCOL,Journal of Hematology & Oncology,,1756-8722,50000,2025,6.666,TRUE,FALSE,FALSE,
ANNU REV SOCIOL,Annual Review of Sociology,0360-0572,1545-2115,50000,2025,6.607,FALSE,TRUE,FALSE,
CIRC RES,CIRCULATION RESEARCH,0009-7330,1524-4571,50000,2025,6.604,TRUE,FALSE,FALSE,
PHARMACOL REV,PHARMACOLOGICAL REVIEWS,0031-6997,1521-0081,50000,2025,6.604,TRUE,FALSE,FALSE,
JAMA SURG,JAMA Surgery,2168-6254,2168-6262,50000,2025,6.596,TRUE,FALSE,FALSE,
EUR UROL,EUROPEAN UROLOGY,0302-2838,1873-7560,50000,2025,6.594,TRUE,FALSE,FALSE,
DIALOGUES HUM GEOGR,Dialogues in Human Geography,2043-8206,2043-8214,50000,2025,6.576,FALSE,TRUE,FALSE,
ANNU REV EARTH PL SC,Annual Review of Earth and Planetary Sciences,0084-6597,1545-4495,50000,2025,6.513,TRUE,FALSE,FALSE,
CHEM-US,Chem,2451-9294,2451-9294,50000,2025,6.497,TRUE,FALSE,FALSE,
PERS SOC PSYCHOL REV,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1088-8683,1532-7957,50000,2025,6.484,FALSE,TRUE,FALSE,
ANNU REV ENV RESOUR,Annual Review of Environment and Resources,1543-5938,1545-2050,50000,2025,6.439,TRUE,TRUE,FALSE,
CELL SYST,Cell Systems,2405-4712,2405-4720,50000,2025,6.414,TRUE,FALSE,FALSE,
J EXP MED,JOURNAL OF EXPERIMENTAL MEDICINE,0022-1007,1540-9538,50000,2025,6.395,TRUE,FALSE,FALSE,
NAT CHEM BIOL,Nature Chemical Biology,1552-4450,1552-4469,50000,2025,6.335,TRUE,FALSE,FALSE,
J R STAT SOC B,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,1369-7412,1467-9868,50000,2025,6.329,TRUE,FALSE,FALSE,
ANNU REV ENTOMOL,Annual Review of Entomology,0066-4170,1545-4487,50000,2025,6.302,TRUE,FALSE,FALSE,
ANNU REV ECOL EVOL S,Annual Review of Ecology Evolution and Systematics,1543-592X,1545-2069,50000,2025,6.288,TRUE,FALSE,FALSE,
ANNU REV CELL DEV BI,Annual Review of Cell and Developmental Biology,1081-0706,1530-8995,50000,2025,6.252,TRUE,FALSE,FALSE,
ORGAN RES METHODS,ORGANIZATIONAL RESEARCH METHODS,1094-4281,1552-7425,50000,2025,6.251,FALSE,TRUE,FALSE,
REV EDUC RES,REVIEW OF EDUCATIONAL RESEARCH,0034-6543,1935-1046,50000,2025,6.229,FALSE,TRUE,FALSE,
J THORAC ONCOL,Journal of Thoracic Oncology,1556-0864,1556-1380,50000,2025,6.216,TRUE,FALSE,FALSE,
J LABOR ECON,JOURNAL OF LABOR ECONOMICS,0734-306X,1537-5307,50000,2025,6.208,FALSE,TRUE,FALSE,
IEEE SIGNAL PROC MAG,IEEE SIGNAL PROCESSING MAGAZINE,1053-5888,1558-0792,50000,2025,6.207,TRUE,FALSE,FALSE,
TRENDS NEUROSCI,TRENDS IN NEUROSCIENCES,0166-2236,1878-108X,50000,2025,6.196,TRUE,FALSE,FALSE,
AM PSYCHOL,AMERICAN PSYCHOLOGIST,0003-066X,1935-990X,50000,2025,6.152,FALSE,TRUE,FALSE,
PROG RETIN EYE RES,PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,1873-1635,50000,2025,6.119,TRUE,FALSE,FALSE,
AM POLIT SCI REV,AMERICAN POLITICAL SCIENCE REVIEW,0003-0554,1537-5943,50000,2025,6.101,FALSE,TRUE,FALSE,
ADV ENERGY MATER,Advanced Energy Materials,1614-6832,1614-6840,50000,2025,6.094,TRUE,FALSE,FALSE,
NAT ASTRON,Nature Astronomy,2397-3366,2397-3366,50000,2025,6.064,TRUE,FALSE,FALSE,
CURR CLIM CHANGE REP,Current Climate Change Reports,2198-6061,2198-6061,50000,2025,6.058,TRUE,FALSE,FALSE,
EUR J HEART FAIL,EUROPEAN JOURNAL OF HEART FAILURE,1388-9842,1879-0844,50000,2025,6.05,TRUE,FALSE,FALSE,
PHYS REV X,Physical Review X,2160-3308,2160-3308,50000,2025,6.038,TRUE,FALSE,FALSE,
EUR RESPIR J,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003,50000,2025,6.004,TRUE,FALSE,FALSE,
P IEEE,PROCEEDINGS OF THE IEEE,0018-9219,1558-2256,50000,2025,5.966,TRUE,FALSE,FALSE,
ELECTROCHEM ENERGY R,Electrochemical Energy Reviews,2520-8489,2520-8136,50000,2025,5.95,TRUE,FALSE,FALSE,
NAT PLANTS,Nature Plants,2055-026X,2055-0278,50000,2025,5.926,TRUE,FALSE,FALSE,
